iteration,norm
1,61.054715017557292
2,121.796029452765765
3,243.273347230531840
4,485.951706789975958
5,970.766788864358432
6,1939.338531347527805
7,3874.406631894543807
8,7740.460521869775221
9,15464.517511324223960
10,30896.720934592231060
11,61729.630142769579834
12,123333.005639482566039
13,246415.821205740678124
14,492335.228112461220007
15,983684.464075219817460
16,1965408.812624517828226
17,3926918.129037461243570
18,7846073.690670034848154
19,15676686.548501977697015
20,31322565.436529241502285
21,62583718.448746293783188
22,125044974.348306700587273
23,249845672.398468166589737
24,499203956.928796648979187
25,997435233.377511143684387
26,1992928881.376391649246216
27,3981981404.454880237579346
28,7956222396.082893371582031
29,15896986200.970808029174805
30,31763095408.403633117675781
31,63464509457.934539794921875
32,126805787371.514099121093750
33,253365348318.696899414062500
34,506238670126.114501953125000
35,1011494053651.801025390625000
36,2021022908153.847900390625000
37,4038117872930.775878906250000
38,8068384226178.611328125000000
39,16121073139662.019531250000000
40,32210769232620.433593750000000
41,64358808032690.914062500000000
42,128592195985745.375000000000000
43,256933621138210.500000000000000
44,513365816275128.750000000000000
45,1025728968641685.875000000000000
46,2049452904176208.000000000000000
47,4094896177738590.000000000000000
48,8181773674559989.000000000000000
49,16347510596890576.000000000000000
50,32662947863125216.000000000000000
51,65261747426149912.000000000000000
52,130395191194641712.000000000000000
53,260533753756307488.000000000000000
54,520554193867686464.000000000000000
55,1040081621429139072.000000000000000
56,2078109381981560064.000000000000000
57,4152110289474521600.000000000000000
58,8296001940026727424.000000000000000
59,16575562868195452928.000000000000000
60,33118235564128997376.000000000000000
61,66170673177522069504.000000000000000
62,132209712720240001024.000000000000000
63,264156077845073821696.000000000000000
64,527785290472731770880.000000000000000
65,1054516492353075019776.000000000000000
66,2106924056213289959424.000000000000000
67,4209628685130109288448.000000000000000
68,8410815243979290836992.000000000000000
69,16804739438050002599936.000000000000000
70,33575682689073328160768.000000000000000
71,67083743873818043613184.000000000000000
72,134032184621943645798400.000000000000000
73,267793639150083352035328.000000000000000
74,535045563409359079211008.000000000000000
75,1069007173970234320093184.000000000000000
76,2135845369503074895265792.000000000000000
77,4267350584793903960948736.000000000000000
78,8526016365353990768033792.000000000000000
79,17034653933257291026399232.000000000000000
80,34034531508250932901052416.000000000000000
81,67999472020226016660160512.000000000000000
82,135859684016202037585772544.000000000000000
83,271440689040609630524276736.000000000000000
84,542323696574237119526993920.000000000000000
85,1083531372048724565220655104.000000000000000
86,2164829364096093567259246592.000000000000000
87,4325189250179910717489020928.000000000000000
88,8641434025136801347776020480.000000000000000
89,17264967898190514894260928512.000000000000000
90,34494112768420716944300179456.000000000000000
91,68916533403686380876534382592.000000000000000
92,137689589149090279834129530880.000000000000000
93,275092033764342786509607272448.000000000000000
94,549609395239551279800082497536.000000000000000
95,1098068670036707081110104834048.000000000000000
96,2193835528910069859070165123072.000000000000000
97,4383064258395058029139985432576.000000000000000
98,8756908491731626286740324483072.000000000000000
99,17495363938957744769729090813952.000000000000000
100,34953795520112795929524201062400.000000000000000
101,69833673234534687902152469250048.000000000000000
102,139519403586933405491709821845504.000000000000000
103,278742704714552357412040595210240.000000000000000
104,556892766866269821187692018270208.000000000000000
