iteration,norm
1,40.874518119905900
2,54.261811040820724
3,72.317684043959687
4,96.391172910167484
5,128.481137350228749
6,171.256940400617538
7,228.277238796413286
8,304.285990771688603
9,405.607226668257681
10,540.671340468138055
11,720.716697264117101
12,960.724953013139157
13,1280.667939248688526
14,1707.169901374921665
15,2275.723454805355232
16,3033.643717225889304
17,4044.006525114164560
18,5390.898564181424263
19,7186.416456825038949
20,9579.997447391067908
21,12770.858429678375614
22,17024.578830758873664
23,22695.207844872071291
24,30254.736422625457635
25,40332.387554826949781
26,53766.995795067326981
27,71676.836696377504268
28,95552.719624634512002
29,127382.094213179181679
30,169814.502797497640131
31,226382.153500879358035
32,301793.977844118548092
33,402327.654929556068964
34,536352.240814595017582
35,715024.915780935552903
36,953219.859234360861592
37,1270766.589013783959672
38,1694100.868197563569993
39,2258465.633495971560478
40,3010845.195249563548714
41,4013877.013144953176379
42,5351066.747744130901992
43,7133740.803358113393188
44,9510315.248436614871025
45,12678652.871823662891984
46,16902537.266991838812828
47,22533635.642770498991013
48,30040779.083124227821827
49,40048998.276150360703468
50,53391565.039446100592613
51,71179372.925948172807693
52,94893433.979194208979607
53,126508193.544318422675133
54,168655931.213783472776413
55,224845937.183056175708771
56,299756714.399293601512909
57,399625537.717730283737183
58,532767808.199610948562622
59,710269448.776324748992920
60,946909996.786615490913391
61,1262393259.274511337280273
62,1682988008.128958940505981
63,2243715336.894705295562744
64,2991264822.757413387298584
65,3987882326.596654891967773
66,5316553174.993975639343262
67,7087912338.544033050537109
68,9449457033.676143646240234
69,12597828906.553186416625977
70,16795188574.049177169799805
71,22391046085.049839019775391
72,29851365204.974861145019531
73,39797365153.353775024414062
74,53057250981.513694763183594
75,70735180416.060913085937500
76,94303210373.407592773437500
77,125723880006.236602783203125
78,167613638439.528228759765625
79,223460726758.975158691406250
80,297915658591.538696289062500
81,397178489416.437988281250000
82,529515125052.252563476562500
83,705945665836.403198242187500
84,941162109772.577758789062500
85,1254751838495.002441406250000
86,1672828774976.330566406250000
87,2230208052218.829101562500000
88,2973305295104.258789062500000
89,3964001962651.415527343750000
90,5284798650712.049804687500000
91,7045685515804.692382812500000
92,9393301982107.207031250000000
93,12523148544937.716796875000000
94,16695867663047.914062500000000
95,22258949607175.984375000000000
96,29675670925686.562500000000000
97,39563675526009.539062500000000
98,52746411417012.335937500000000
99,70321706791995.671875000000000
100,93753196519887.718750000000000
101,124992213130229.921875000000000
102,166640293514578.625000000000000
103,222165835123693.281250000000000
104,296192945126786.500000000000000
105,394886538398565.000000000000000
106,526465756046121.250000000000000
107,701888463071759.750000000000000
108,935763831734928.125000000000000
109,1247569012857471.500000000000000
110,1663271222753272.000000000000000
111,2217490337871915.500000000000000
112,2956382104684022.000000000000000
113,3941482087905197.000000000000000
114,5254830494250557.000000000000000
115,7005804685519790.000000000000000
116,9340228418522834.000000000000000
117,12452516465333048.000000000000000
118,16601866067888444.000000000000000
119,22133843720714536.000000000000000
120,29509165125201284.000000000000000
121,39342065242967264.000000000000000
122,52451454089841032.000000000000000
123,69929118777853600.000000000000000
124,93230652019292144.000000000000000
125,124296680096930848.000000000000000
126,165714486822435680.000000000000000
127,220933494426550976.000000000000000
128,294552547863018944.000000000000000
129,392702929250982912.000000000000000
130,523559002206301632.000000000000000
131,698019015674486784.000000000000000
132,930612768911484032.000000000000000
133,1240711733821397504.000000000000000
134,1654142421638765056.000000000000000
135,2205337366028674560.000000000000000
136,2940202871307187712.000000000000000
137,3919942372028810240.000000000000000
138,5226153840753477632.000000000000000
139,6967625793380230144.000000000000000
140,9289397913981669376.000000000000000
141,12384840936674940928.000000000000000
142,16511761890294306816.000000000000000
143,22013876077041635328.000000000000000
144,29349434142825299968.000000000000000
145,39129388533855666176.000000000000000
146,52168278156432171008.000000000000000
147,69552069340079423488.000000000000000
148,92728603475593150464.000000000000000
149,123628184586767613952.000000000000000
150,164824350423001530368.000000000000000
151,219748217514696048640.000000000000000
152,292974252774165970944.000000000000000
153,390601273304078155776.000000000000000
154,520760407593659138048.000000000000000
155,694292325859689365504.000000000000000
156,925650145685715681280.000000000000000
157,1234103215593999564800.000000000000000
158,1645342039321809256448.000000000000000
159,2193618014647233019904.000000000000000
160,2924596205458434293760.000000000000000
161,3899158754571193942016.000000000000000
162,5198475724133733761024.000000000000000
163,6930765715262728568832.000000000000000
164,9240309361460295761920.000000000000000
165,12319466434053101584384.000000000000000
166,16424697471506667536384.000000000000000
167,21897924385363478970368.000000000000000
168,29195009184951298949120.000000000000000
169,38923722839899273953280.000000000000000
170,51894366745755188723712.000000000000000
171,69187263111506266423296.000000000000000
172,92242735626269432479744.000000000000000
173,122981075014669299613696.000000000000000
174,163962481583896364318720.000000000000000
175,218600306622653758701568.000000000000000
176,291445353876650129883136.000000000000000
177,388564921063720051802112.000000000000000
178,518048152491296001359872.000000000000000
179,690679794571933059645440.000000000000000
180,920838472700869568626688.000000000000000
181,1227694308886530628780032.000000000000000
182,1636805632367261613293568.000000000000000
183,2182247776941655155802112.000000000000000
184,2909451277676327156580352.000000000000000
185,3878985867507076593352704.000000000000000
186,5171605452644808277360640.000000000000000
187,6894974276366864341794816.000000000000000
188,9192634512098447165751296.000000000000000
189,12255962222391055844638720.000000000000000
190,16340107531075481986138112.000000000000000
191,21785246714227232604160000.000000000000000
192,29044916363434985298853888.000000000000000
193,38723789665437749195309056.000000000000000
194,51628041309930771386990592.000000000000000
195,68832496090401594281033728.000000000000000
196,91770154239671276012568576.000000000000000
197,122351550386026710208348160.000000000000000
198,163123887975137275654701056.000000000000000
199,217483204060918261808627712.000000000000000
200,289957236484895991035592704.000000000000000
201,386582554560500941054803968.000000000000000
202,515407365987202057705095168.000000000000000
203,687161880837334920637448192.000000000000000
204,916152070027055957362606080.000000000000000
205,1221451263213938260674871296.000000000000000
206,1628488839472070756839456768.000000000000000
207,2171168339801724618184589312.000000000000000
208,2894691428580656738537046016.000000000000000
209,3859322924618638687735906304.000000000000000
210,5145410508764148282939146240.000000000000000
211,6860077223252883580978724864.000000000000000
212,9146144213245919581821730816.000000000000000
213,12194026929290529481001271296.000000000000000
214,16257595684442653190223036416.000000000000000
215,21675321671772603119317286912.000000000000000
216,28898469802213218895196585984.000000000000000
217,38528686690554211472079060992.000000000000000
218,51368114690851853162124410880.000000000000000
219,68486206246892705407970574336.000000000000000
220,91308803886705243273010610176.000000000000000
221,121736905822748304163230187520.000000000000000
222,162305009805077954782474272768.000000000000000
223,216392224579153680146091737088.000000000000000
224,288503733626253118253572292608.000000000000000
225,384646055927803922159138504704.000000000000000
226,512827361417764727784541782016.000000000000000
227,683724515359385764166157467648.000000000000000
228,911572413768690969529691406336.000000000000000
229,1215349688022874199446146514944.000000000000000
230,1620359543259839550664248131584.000000000000000
231,2160337408401175383673332039680.000000000000000
232,2880260957182248455595609817088.000000000000000
233,3840096564650099880968304197632.000000000000000
234,5119794265490392252309548564480.000000000000000
235,6825947276596853539445783134208.000000000000000
236,9100670799076896668389323309056.000000000000000
