method,size,iterations,time
Ja,939,23,0.450736
GS,939,16,0.354107
Ja,939,499,7.039334
GS,939,499,9.243426
LU,939,1,3.800304
Ja,100,22,0.006653
GS,100,15,0.005124
LU,100,1,0.005428
Ja,500,23,0.128625
GS,500,16,0.100947
LU,500,1,0.588634
Ja,1000,23,0.496992
GS,1000,16,0.403071
LU,1000,1,4.668764
Ja,2000,23,1.915702
GS,2000,16,1.558081
LU,2000,1,37.362798
Ja,3000,23,4.585888
GS,3000,16,3.693905
LU,3000,1,126.024851
Ja,5000,24,14.579891
GS,5000,16,11.197917
LU,5000,1,586.694629
Ja,10000,24,62.332603
GS,10000,17,49.043876
LU,10000,1,4592.443786
